TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,YEAR
Houston,B12,34,30,124.8,88,0.9823,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49,43.9,39.8,30.9,61.4,11.6,1,2015
Duke,ACC,34,31,128.5,91.3,0.9807,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58,43.4,37.7,30.9,65.7,9.6,1,2015
Auburn,SEC,33,28,129,93.7,0.9756,55.7,46,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,67.8,12.5,1,2015
Florida,SEC,34,30,127.7,94,0.9713,55,45.3,15,17,38.1,28.8,32.6,33,56.4,45.9,35.5,29.6,69.5,11.1,1,2015
Alabama,SEC,33,25,127.6,96.4,0.9621,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,59.7,48.8,35,30.8,74.6,9.8,2,2015
Tennessee,SEC,34,27,119.3,91.1,0.957,52.8,44.4,16,17.8,35.4,30.1,35.4,29.4,54.1,46.7,34,27.8,63.8,9.3,2,2015
Texas Tech,B12,33,25,126,96.7,0.9546,55.5,48,14.8,17.4,34.3,28.5,29.7,33.5,54.3,48.2,37.9,31.7,65.6,5.8,3,2015
Iowa St.,B12,33,24,118.9,92.3,0.9481,54.6,48.4,16.9,21.8,32.2,28.4,38.5,28.9,55.1,47.5,35.8,33.2,68.5,5.4,3,2015
Arizona,B12,34,22,123.9,96.5,0.9469,52.9,48.6,16.2,16.6,35.9,28.5,36.6,29.2,55.1,47.2,32.4,33.6,69.9,5.4,4,2015
Maryland,B10,33,25,117.8,92,0.9449,53.8,47,14.5,20.2,31,27.2,32.9,25.9,52.7,47.6,37.2,30.7,69.8,4.6,4,2015
Gonzaga,WCC,33,25,123.3,96.4,0.9441,55.7,47.5,13.2,18.2,32.7,26.4,30.9,28.6,57.8,49.1,34.4,30.2,70.1,2.7,8,2015
Wisconsin,B10,35,26,122.4,96.1,0.9418,53.6,47.9,14.1,14.5,28,26.6,33.8,28.1,54.7,46.8,34.9,33,67.5,5.9,3,2015
Michigan St.,B10,33,27,116.8,91.8,0.941,51.2,46.1,16.6,16.4,35.3,24.6,37.8,33.1,53.6,49.1,30.8,27.9,67.9,7.8,2,2015
BYU,B12,33,24,125.4,99.1,0.9377,57.2,50.6,17.6,17.2,33.3,26.1,30.2,29.5,58.6,49.3,37.1,34.8,67.2,4.8,6,2015
St. John's,BE,34,30,112.6,89.1,0.9364,49.7,46.6,15.6,21.9,37.3,28.9,30.2,30.4,51.5,45.8,30.4,31.8,70.1,7.8,2,2015
Missouri,SEC,33,22,127,100,0.9344,56.2,50.7,15.2,20,33.7,32.2,46.8,35.3,56.7,51.1,37,33.4,68.1,3,6,2015
Kentucky,SEC,33,22,123.9,98.7,0.9315,56,50.4,15.2,14,28.7,25.9,35.9,31,55.9,53.7,37.4,30.8,70.9,5.6,3,2015
Purdue,B10,33,22,125,100,0.9289,56.3,52,15.6,17.8,31,29.9,34.6,31,55.5,56.4,38.5,30.7,65,4.3,4,2015
Louisville,ACC,34,27,118.3,94.7,0.9288,53.4,49.2,16.5,18.6,32.2,27.2,34.5,26.8,57,48.3,33,33.7,68.8,5.5,8,2015
Kansas,B12,33,21,116.1,93,0.9274,53.1,46.2,16.7,15.6,30.4,27.5,24.3,28,53.4,46.1,35.2,30.9,68.3,4.1,7,2015
Clemson,ACC,33,27,118.3,94.8,0.9272,53.6,48.9,15.7,20.1,33.7,29.9,28.2,27.6,52.3,49.3,37.2,32.2,64.3,4.9,5,2015
Texas A&M,SEC,32,22,115.7,93.1,0.9237,47.5,48.2,18.2,19.7,42,27.8,41.7,35.3,48,46.5,31.1,33.4,66.1,5.2,4,2015
Illinois,B10,33,21,122.2,98.5,0.9228,52.3,47.3,15.8,12.7,36,26.3,34.6,26.8,57.3,46.1,31.1,33.3,71.3,3.4,6,2015
Saint Mary's,WCC,33,28,115,92.8,0.9217,50.9,46.2,15.1,16.6,40.5,24.9,31.4,25,51.8,45.8,32.6,31.2,61.8,4.1,7,2015
UCLA,B10,32,22,117.9,95.3,0.9205,53,50.5,15.9,22.8,32.8,29.2,32.9,34.6,53.1,51.2,35.2,33.2,65,3.3,7,2015
Michigan,B10,34,25,115.1,94.4,0.9072,54.5,46.3,19.8,16,33.2,29.8,35,28.5,57.7,45.9,33.4,31.3,69.4,6.2,5,2015
Baylor,B12,33,19,120.5,99.3,0.9027,51.5,51.2,16.1,18.8,35.6,31.2,31,33.5,51.2,49.8,34.7,35.4,64.6,2,9,2015
Mississippi,SEC,33,22,117.4,96.9,0.9003,51.1,50.5,12.8,20.5,25.4,30.8,35.6,39.5,51,51.6,34.1,32.7,68,4.8,6,2015
VCU,A10,34,28,116.2,96,0.9002,52.4,44.4,16.8,20.6,36.7,30,32.2,36.1,54.2,43.6,33.5,30.6,66.1,1.1,11,2015
Georgia,SEC,32,20,115.9,95.8,0.8999,52.5,47.2,18.8,18,36.1,31.8,39.8,30.4,53.8,47.8,33.5,30.9,66.4,2,9,2015
Marquette,BE,33,23,116.7,96.5,0.8983,52,49.9,13.5,21.5,30.1,31,26.1,30.2,54.9,51.3,32.5,31.8,67.7,3.6,7,2015
Mississippi St.,SEC,33,21,118.3,98.8,0.8888,51.7,51.9,15.1,19,34.1,29.5,31.6,35.4,55.2,50.1,31.4,36.1,68,3,8,2015
Creighton,BE,34,24,117.3,98.2,0.8852,55.8,47,18.1,11.7,26.9,27.2,28.5,16.9,60.5,45.8,33.9,32.7,67.1,3.1,9,2015
West Virginia,B12,32,19,110.1,92.3,0.8836,50,46.3,16.2,19.4,25.9,30.8,25.6,32.2,50.9,47.3,32.6,29.7,64.2,1.5,N/A,2015
Connecticut,BE,33,23,121.6,102,0.8829,55.5,48.3,17.1,15.5,35.6,27.4,30.6,40,57.3,46,35.4,35.1,63.8,2.2,8,2015
North Carolina,ACC,35,22,118.8,99.8,0.8814,54.2,49.6,15.1,15.2,29.2,27.1,34.8,30,54.9,49.2,35.3,33.5,70.6,1.4,11,2015
Xavier,BE,32,21,116.3,97.8,0.8797,53.9,50.6,16,17.6,25.2,25.2,37.2,28.1,51.3,50.5,38.8,33.9,69,0.35,11,2015
Colorado St.,MWC,34,25,116.9,98.6,0.8761,55.8,48.5,17.4,16.7,26.4,25.3,31.8,33.6,56.5,47.7,36.6,33.1,66,0.9,12,2015
Oregon,B10,33,24,115.1,97.3,0.8744,52.2,49.1,16.2,17.6,30.6,29.2,33.4,27.7,53,50,34,31.7,67.7,5.3,5,2015
New Mexico,MWC,33,26,111.7,94.9,0.8673,50.8,49.2,15.6,20.5,31.5,25.6,37.8,35,50.6,48.2,34.1,33.8,73.1,2.8,10,2015
Ohio St.,B10,32,17,116.8,99.5,0.8632,53.5,48.6,15.6,16.8,28.9,30.5,35.8,39.9,52.6,50.3,36.8,30.5,67,-1,N/A,2015
Vanderbilt,SEC,32,20,118.6,101.2,0.8621,51.7,52.9,14.7,20,32.2,29.7,34,39,53.6,51.5,32.5,36.9,69.6,1.5,10,2015
Arkansas,SEC,33,20,111.9,95.4,0.8616,52.7,48.3,16.5,17.5,27.6,28.3,35.5,29.4,54.4,48.5,33.3,31.9,69.3,1.2,10,2015
Cincinnati,B12,33,18,111.6,95.3,0.859,50.9,48.6,15.5,19.7,32.3,30.1,23.4,24.3,52.6,48,32,33.2,65.2,-1,N/A,2015
UC San Diego,BW,34,30,113.5,97,0.8589,55.4,47.7,13.4,23.3,25.6,28.4,33.8,29.8,56.1,46.2,36.5,33.1,65.8,1.2,12,2015
Oklahoma,SEC,33,20,117.7,100.9,0.8549,54.9,51.1,17.3,18.1,26.5,31.7,39.6,35.8,54.6,54.9,37,30.5,68.4,2.1,9,2015
SMU,ACC,33,23,116.8,100.3,0.8529,54.7,47.8,17.4,17.9,36.7,30.5,36.7,32.5,53.7,46.8,37.6,32.9,68.8,-0.3,N/A,2015
Utah St.,MWC,33,26,122.6,105.2,0.8528,56,51.8,16,20.2,34.6,30.3,37.6,36.2,57.7,52.6,35.8,33.8,67.6,2.3,10,2015
Texas,SEC,34,19,116.7,100.2,0.8524,52.5,48.4,14.3,16.6,29.8,29.7,36.6,39.3,51.8,47.5,36,33.3,67.3,0.04,11,2015
Boise St.,MWC,34,24,115.4,99.1,0.8519,52.1,49.6,16.9,16.1,33.2,22.6,39.2,31.1,56.3,48.6,31,34.2,65.2,0.15,N/A,2015
Santa Clara,WCC,32,20,115.7,99.7,0.8469,55.5,49.5,17,16.9,32.8,26.9,28.9,31.9,54.6,51.7,37.7,30.7,68.9,-3.4,N/A,2015
Villanova,BE,33,19,118.6,102.5,0.8431,54.9,51.1,15.6,16,30.2,27.4,28.9,30.1,51.1,50.3,39.8,34.7,63.1,-2.9,N/A,2015
San Diego St.,MWC,30,21,108.9,94.3,0.8388,50.6,45.3,16.8,19.7,29.4,30.9,32.1,37.2,51.6,45,32.8,30.4,65.8,0.9,11,2015
Northwestern,B10,33,17,113.3,98.1,0.8387,49.8,49.9,14.9,19.8,31.2,30.1,31.3,36.6,49.7,49.4,33.3,33.8,64.9,-2.6,N/A,2015
Indiana,B10,32,19,112.4,97.8,0.8317,51.1,49.8,16.7,16.4,31.5,28.1,33.1,29.6,52.6,50.3,32.1,32.7,68,0.3,N/A,2015
Liberty,CUSA,34,28,112.8,98.2,0.8308,58.4,45.9,15.3,16.9,18.9,28,30.9,26.3,57.7,48,39.5,28,65.4,-0.3,12,2015
Kansas St.,B12,33,16,109.8,95.9,0.8249,50.6,49,17.7,18.1,29.4,31.7,27.6,28.6,51.8,49.9,32.5,31.5,67,-2.5,N/A,2015
Drake,MVC,33,30,112.5,98.5,0.8229,53.8,51.7,18.6,22.1,36,25.8,43,35.8,54.6,54.3,35,31.8,58.6,2.3,11,2015
USC,B10,33,16,116.8,102.8,0.8142,54.6,52.4,17.8,17.8,28.2,30.9,36.4,34.9,54.3,54.3,36.7,32.9,68.2,-3.8,N/A,2015
Memphis,Amer,34,29,111.7,98.7,0.8059,53.6,48.5,19.2,19.1,35.1,32.3,39.4,33.6,52,48.6,38,32.2,70.7,4.9,5,2015
San Francisco,WCC,33,24,111,98.1,0.8048,53,48.7,17,18.2,29,28.1,35,35.9,54.7,52.1,34,28.3,67.7,0,N/A,2015
Nebraska,B10,31,17,111.9,99.2,0.7987,51.5,50.9,16.2,17.6,26.8,28.8,36,27,53.3,50.6,32.5,34.1,67.5,-1.4,N/A,2015
McNeese St.,Slnd,33,27,113.4,100.7,0.7962,53.3,47.5,16.2,21.6,34.7,31.3,35.7,31.4,53.2,46.9,35.6,32.2,65.2,-0.9,12,2015
Penn St.,B10,31,16,113.6,100.9,0.7956,54.1,51.9,17.4,19.8,28.6,29.1,37.9,29.4,55.6,51.2,34.3,35.3,70.1,-3.7,N/A,2015
Arizona St.,B12,32,13,113.2,100.8,0.7915,51.4,50.5,17.5,16,25.2,30.4,35.9,31.2,49.8,51.4,35.8,32.9,68.3,-3.1,N/A,2015
Iowa,B10,33,17,119.4,106.6,0.7877,56.8,54.4,13.7,17.9,25.1,32.2,26,28.3,56.6,56.2,38,34.4,69.7,-2.4,N/A,2015
Utah,B12,32,16,112.5,100.5,0.7866,51.7,48.7,18.1,15.7,34.9,28.4,37,33.4,53.9,47.4,32.6,33.8,68.8,-3,N/A,2015
Rutgers,B10,32,15,115.7,103.7,0.7783,50.6,52.8,15.4,17.4,30.8,32.2,36.2,30.5,51.3,52.9,32.9,35.1,68.6,-3.6,N/A,2015
UCF,B12,33,17,115.5,103.6,0.7767,49.4,51.1,17.2,18.1,32.4,34.4,36.3,30.8,48.6,52.1,33.6,33,71.7,-2,N/A,2015
Wake Forest,ACC,32,21,107.9,97.1,0.7722,49.4,47.2,16.7,19.7,26.8,31.5,36.1,31.5,52.9,48.2,28.5,30.7,67.1,0.6,N/A,2015
George Mason,A10,34,26,105.7,95.1,0.7721,51.5,45,20,18.9,32.1,29.1,41.7,31.5,50.7,44.6,35.3,30.3,64.6,-0.2,N/A,2015
Pittsburgh,ACC,32,17,113.9,102.7,0.7664,52.2,51.1,14.8,18.3,29,29.9,34.2,32.8,52.4,50.4,34.6,34.7,66.4,-3.7,N/A,2015
North Texas,Amer,32,24,109.2,98.7,0.7627,51.6,46.8,17,19.5,33.1,27.7,36.6,39.5,50.5,47.6,35.7,30.3,60.4,-1.8,N/A,2015
TCU,B12,32,16,106.3,96.1,0.7608,46.8,50.9,17.3,19.5,33,29.6,33.5,28.3,47.8,53.4,30,31.6,66.4,-1.7,N/A,2015
Stanford,ACC,33,20,112.3,101.6,0.7595,50.4,50.6,15.8,17.6,31.1,28.2,29.7,36,49.9,50.9,34.1,33.4,66,-2.6,N/A,2015
South Carolina,SEC,32,12,109.8,99.4,0.7579,48.9,51.5,18.4,15.6,30.4,27.3,43.3,30.4,49.8,51.1,31.6,34.8,65.3,-5.6,N/A,2015
Butler,BE,33,14,116,105.3,0.754,53,49.4,16.4,11.5,26.4,29.3,37.3,20.4,51.7,50.9,36.6,31.3,67.3,-6.1,N/A,2015
Dayton,A10,32,22,114.7,104.3,0.7471,52.6,50.4,15.5,17.7,29.6,28.8,37.9,30.7,52.1,51.9,35.6,32.3,65.7,-1.5,N/A,2015
Yale,Ivy,29,22,113.9,103.7,0.7461,54.8,48.8,14.4,16.1,33.2,25.8,32,28.7,53.4,47.3,38.5,33.7,67.2,-2.7,13,2015
UC Irvine,BW,34,28,106.4,96.9,0.7446,51.6,46.2,18.3,17.9,28.5,25.9,36.3,21.9,51,43.3,35.2,34,68.7,0.21,N/A,2015
Colorado,B12,34,14,108.5,98.9,0.7426,50.6,49.5,21,16.4,28.9,28.3,36.3,34.8,51.9,48.5,32.2,34.1,67.5,-4.4,N/A,2015
Saint Joseph's,A10,34,22,110.7,101.1,0.7393,52.1,47.1,16.6,16.1,30.4,27.4,32.3,25.9,53.1,45.5,34,33.5,68,-4.7,N/A,2015
Grand Canyon,WAC,33,26,108.5,99.5,0.7316,51.2,47,18.4,20.6,32.5,28.6,43.9,32.2,53.2,46.4,31.6,32.1,71.5,-2.5,13,2015
LSU,SEC,32,14,108.5,99.6,0.7284,51.1,48.3,18.6,16.5,29.5,34.3,32.5,29.5,55.2,48.2,30.5,32.3,68,-4,N/A,2015
High Point,BSth,34,29,117.7,108.1,0.7262,56.4,49.1,15.3,16.5,34,29.9,37.6,36.3,57.4,48.9,36.6,32.9,66.5,-1.8,13,2015
Minnesota,B10,32,15,109.9,101.5,0.7148,49.9,50.1,16.6,16.3,30.2,30.6,31.5,33,50.7,49.2,32.2,34.5,62.6,-4.5,N/A,2015
Oklahoma St.,B12,32,15,107.8,99.6,0.7137,48.3,53.5,19.1,20.6,31,29.4,41.6,36.2,48,54.6,32.5,34.8,71.3,-3.5,N/A,2015
Nevada,MWC,33,17,112.1,103.8,0.7075,53.7,51.3,15.5,18.7,27.4,26.5,37.3,37.9,55.3,49.5,34.1,35.7,63.8,-6.4,N/A,2015
UNLV,MWC,33,18,106.9,99.2,0.7024,49.7,49.3,16.2,17.8,27.3,29.8,35.8,32,49.6,50.5,33.3,31.9,65.7,-5,N/A,2015
Georgia Tech,ACC,33,17,107.4,99.8,0.6993,50.4,48.8,17.4,15.6,30.5,28.6,31.2,28.5,49.9,46.7,34.1,34.6,68.7,-5.1,N/A,2015
Oregon St.,WCC,32,20,116,108,0.695,54.6,51.1,16.6,16.6,31.8,27.6,38.9,32.3,54.5,50.4,36.5,34.7,63.7,-4.4,N/A,2015
St. Bonaventure,A10,33,22,106.5,99.2,0.6927,50.2,49.7,16,18.7,28,26.9,30.9,24.4,51.9,50.8,31.4,32.3,64.2,-4.1,N/A,2015
Florida St.,ACC,32,17,107.8,100.5,0.6917,50.7,48.5,17.4,19.1,29.7,31.8,39.4,37.5,52.3,48.9,31.7,32,69.6,-5.1,N/A,2015
Georgetown,BE,32,17,107.1,99.9,0.69,50.4,49.4,17.1,19.6,31.6,28.9,25.8,29.3,52.1,48.5,31.8,33.8,68.2,-4.7,N/A,2015
Arkansas St.,SB,34,24,109.7,102.5,0.685,49.3,45.7,15,17.1,33.9,30.6,34.2,37.6,50.5,46,31.8,30.1,69.6,-4.7,N/A,2015
Virginia,ACC,32,15,111.6,104.5,0.6819,52.7,50.8,16.4,15.7,22.4,29.7,26.4,28.8,49.9,50.6,37.5,34.1,60.9,-5.6,N/A,2015
Notre Dame,ACC,33,15,110.6,103.6,0.6777,51.7,51.4,16.5,14.9,29.6,26,31.8,30,50.8,53.6,35.5,32.1,64.6,-7,N/A,2015
Loyola Chicago,A10,33,22,107.8,101.1,0.6765,52.6,49,17.6,17.9,29.9,27.5,31.7,33.2,53,48.3,34.7,33.3,66.9,-4.6,N/A,2015
Bradley,MVC,34,26,111,104.2,0.6751,56.8,47.9,17.3,15.6,26.3,28.1,32.4,35.5,54.5,47.4,40,32.4,65.7,-2,N/A,2015
Akron,MAC,34,28,113.7,106.8,0.6717,55.4,49.5,16.6,17.2,33.3,29,26.8,33.7,55.8,50.6,36.6,31.9,71.2,-1.8,13,2015
Lipscomb,ASun,34,25,110.7,104,0.6716,55.9,48.6,14.4,15.9,24,26.5,31.4,22.3,56.7,49.9,36.7,31,66.1,-4.1,14,2015
UAB,Amer,34,22,117.2,110.2,0.6711,50.7,51.6,13.9,15.5,38.8,30.7,31.6,29.2,50.5,50.6,34.1,35.7,69,-6.2,N/A,2015
Troy,SB,33,23,106.7,100.6,0.6613,50.1,47.2,19.9,19.8,38.6,32,37.8,29.3,53.9,46.2,30.3,32.6,66.1,-4.5,14,2015
Providence,BE,32,12,111.2,105,0.6583,52.1,49.5,19,13.8,33.2,28.7,29.6,32.8,51.1,49,35.6,33.5,66.2,-8.5,N/A,2015
New Mexico St.,CUSA,32,17,104.7,99,0.6556,46.2,46.9,15.6,15,32.5,27.7,34.5,39.2,46.1,48.8,30.9,29.5,64.7,-8.4,N/A,2015
Washington St.,WCC,33,19,112.7,106.7,0.6527,56.7,51.3,20.4,17.3,31.3,33.4,32.4,32.6,58,52,36.5,33.5,70.6,-4.8,N/A,2015
Syracuse,ACC,33,14,110.9,105.2,0.6485,51,52.9,17.9,14,31.4,26.1,33.1,33,51.9,53.6,32.8,34.5,68.1,-7.7,N/A,2015
Saint Louis,A10,33,19,108.8,103.5,0.6406,56.3,48.6,18.6,14.4,23.6,28,29.8,24.3,59.8,47.8,35.3,33.2,67.1,-6.5,N/A,2015
UNC Wilmington,CAA,34,27,112.2,106.8,0.639,52.2,50.9,16,17.4,35.4,28.1,37.8,30.3,53.8,50.4,33,34.4,65.1,-3.3,14,2015
Utah Valley,WAC,33,25,107,101.8,0.6378,50.8,47.4,17.3,16.9,31.1,26.6,41.8,31.8,51.4,45.7,33,33.8,67.9,-3.1,N/A,2015
Florida Atlantic,Amer,33,18,112.2,106.8,0.6377,53.2,49.6,16.3,16,30.7,31.6,33.2,33.3,53.8,46.6,34.9,36.8,68.9,-7.9,N/A,2015
DePaul,BE,33,14,109.3,104.1,0.6372,52.7,51.4,17.9,15.5,27.2,28.7,27.4,28.9,53.3,51.3,34.6,34.4,67,-7.5,N/A,2015
North Alabama,ASun,34,24,112,106.7,0.6371,51.7,50.5,12.5,16.8,33.5,29,30.8,27.6,51.5,51.7,34.8,32.6,66.5,-5.7,N/A,2015
St. Thomas,Sum,34,24,114.1,108.8,0.634,57.8,52.5,13.7,18.5,21.5,31.2,34,35.9,58.1,52.1,38.3,35.4,67.8,-5.2,N/A,2015
N.C. State,ACC,31,12,107.7,102.7,0.6331,48.3,51,14.4,18.6,28.8,32.5,32.3,32.2,48.3,50.8,32.2,34.3,65.1,-8.9,N/A,2015
George Washington,A10,33,21,107.6,102.7,0.632,50.6,48.4,18.2,19.4,32.1,32.7,40.8,26.7,53.2,49,31.3,31.6,66.8,-6.5,N/A,2015
Northern Iowa,MVC,32,20,108.6,103.7,0.6291,55.5,51.5,15.9,17.4,25.6,25.2,35.2,28.3,55.3,49.9,37.2,36,65,-6.6,N/A,2015
Washington,B10,31,13,109.2,104.5,0.626,50.6,53,17.5,16.7,27.5,28.5,34.5,36.2,50.1,53.3,34.4,35.1,67.6,-5.6,N/A,2015
Northern Colorado,BSky,34,25,111.8,106.9,0.6258,57.3,52.1,15.7,15.5,25.2,22.2,33.4,35.4,58.9,51.8,36.5,35.2,68.7,-4.1,N/A,2015
Middle Tennessee,CUSA,33,22,108.5,103.8,0.6233,50.8,48.5,16.6,16.1,30.7,29,32.3,31,52.9,49.2,31.7,31.6,68.3,-4.3,N/A,2015
California,ACC,33,14,110,105.7,0.6142,47.8,53,16.6,16.3,34.7,28.8,38.9,32.8,48.2,51.3,31.5,37.6,67.5,-8,N/A,2015
North Dakota St.,Sum,32,21,115.5,111.2,0.6085,58.2,51.4,15.6,11.1,26.2,29,32.6,27.1,56.5,51.3,39.8,34.3,65,-6.4,N/A,2015
Duquesne,A10,32,13,106.4,102.7,0.6006,50,50.2,18.3,20,32.9,30.7,30,39.5,49.2,48.1,34,35.9,65,-12.8,N/A,2015
