TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,YEAR
Kennesaw St.,CUSA,33,19,107.1,103.4,0.5995,49.3,48.3,19.7,15.1,32.5,27.4,38.8,42.6,52.2,48.1,30.6,32.5,70.1,-7.2,N/A,2015
Cornell,Ivy,29,18,114.7,110.8,0.5967,58.7,52.2,16.8,15.3,25.5,28.9,28.6,31.3,61.1,52.3,37.4,34.7,70.7,-7.2,N/A,2015
Nebraska Omaha,Sum,34,22,112.2,108.4,0.5964,53.5,53.1,15.7,14.9,29.2,25.4,36.4,37.7,52.5,53.5,36.7,35.1,67.7,-6.5,15,2015
Kent St.,MAC,33,22,105.5,102.1,0.5944,48.7,48.4,17.3,18.9,35.7,28.3,30,39.2,50.4,49.4,30.5,31.3,65.8,-5.9,N/A,2015
Cal St. Northridge,BW,32,22,107.7,104.4,0.5896,51.8,49.9,18.9,20.5,35.4,24.1,35.8,45.1,51.5,46.4,35,35.6,72.2,-4.9,N/A,2015
South Dakota St.,Sum,32,20,109.7,106.4,0.5869,53.6,50.9,17.6,12.7,33.6,21.4,31.2,29.9,54.5,52.3,34.8,32.9,69,-6.2,N/A,2015
Belmont,MVC,33,22,111.9,108.5,0.5868,54.8,53.7,15.9,17.6,27.2,29.4,26.1,27,52.9,54.6,38.1,35.1,70.6,-5.5,N/A,2015
Illinois St.,MVC,33,19,112.1,108.8,0.5829,56,53.8,15.8,16.7,24.6,24.9,30.7,31.4,56.6,53.5,36.9,36.1,65.6,-8.2,N/A,2015
Jacksonville St.,CUSA,34,22,108,105.1,0.5782,49.6,49.4,15.7,13.3,30.9,26.5,32.2,28,49.1,47.7,33.5,34.5,64.6,-5.4,N/A,2015
Montana,BSky,34,25,112,109,0.5779,56.4,52.2,16.2,15.5,22.6,29,36.2,31.9,57.3,53.1,36.5,33.7,67,-3.1,14,2015
Louisiana Tech,CUSA,32,20,107.7,105,0.5728,52.5,47.8,18.9,14.7,29.3,28.7,35,32,53.5,48.8,34.1,30.8,64.4,-6.4,N/A,2015
Chattanooga,SC,33,24,114,111.2,0.5725,56.5,51.2,15.4,16.2,25.8,29.9,31.5,33.8,57.5,50,36.8,35.4,66.5,-4.1,N/A,2015
South Alabama,SB,32,21,106.1,103.6,0.5684,50.8,48.5,14.6,20.6,28.3,32.2,33.6,24.4,53.6,46.9,31.7,33.1,63.1,-6.5,N/A,2015
Samford,SC,32,22,110.4,108,0.5635,54.6,53.2,18.3,21.8,34.6,33.5,29.3,41.8,54,53.8,36.9,35,70.8,-4.9,N/A,2015
Tulane,Amer,33,19,108.4,106.1,0.5603,52.1,48.4,15.9,17.4,27.2,32.4,35.1,32.8,52.9,48.3,33.9,32.3,66.7,-8.7,N/A,2015
Seattle,WAC,32,14,103,101,0.5584,46.5,51.2,17,20.9,29.9,27,42.3,36.7,46.3,53.3,31.3,31.9,65.9,-12.1,N/A,2015
Wichita St.,Amer,33,19,105.8,103.7,0.5582,48.7,49.9,16.4,15.7,31.9,28.4,35.2,28.3,50.1,49.9,30.2,33.3,68.6,-7.3,N/A,2015
Furman,SC,34,25,109.2,107.3,0.5515,53.6,49.2,17,16.5,30,31,35.4,29,53.2,49.2,36,32.9,65.8,-4.4,N/A,2015
Davidson,A10,33,17,109.3,107.4,0.5513,52.4,52.3,14.6,15.4,24.4,26.9,29.2,28.1,53.3,51.9,34.1,35.3,65.7,-9.2,N/A,2015
UTEP,CUSA,33,18,105.8,104,0.5501,49.3,52.4,16.6,22,25.4,32.4,37,40,47.7,54,34.6,33.4,68.4,-8.4,N/A,2015
Virginia Tech,ACC,32,13,106.5,104.7,0.5493,51.2,52.3,20.1,16.2,31,29.2,30.8,31.8,50.3,54.6,35,32.6,65.1,-9.2,N/A,2015
Wofford,SC,34,19,111.5,109.7,0.5466,53.3,51.8,16.9,14.9,35.5,26.2,31.1,36.2,54.6,51.8,34.5,34.5,63.9,-9.7,15,2015
Miami OH,MAC,34,25,107.8,106.4,0.5364,55.4,51.3,17.4,19.1,27.5,29,28.1,33.3,53.9,51.9,38.2,33.6,68.8,-4.6,N/A,2015
UC Santa Barbara,BW,34,21,108.7,107.3,0.5353,54.6,48.9,18.2,17.2,27.5,29.2,29.7,32,52.4,50.5,38.1,30.8,65.2,-7.9,N/A,2015
Loyola Marymount,WCC,32,17,104.2,103.1,0.53,50.2,48.5,15.2,15.7,22.8,30.9,29,28.9,50.6,49,33.1,31.8,67,-6.9,N/A,2015
Robert Morris,Horz,34,26,105.9,105,0.5238,51.3,50.3,18.5,18.8,35.3,28.3,38.4,30,50.7,49.8,34.9,34.2,67.9,-4.3,15,2015
Texas A&M Corpus Chris,Slnd,34,20,105.8,105,0.5237,52.8,49.9,17.8,18.3,31.9,30.7,36.7,40.4,53,48.4,34.7,35,67.4,-8.5,N/A,2015
UC Riverside,BW,33,21,109.9,109,0.5225,49.5,51.4,15.8,15.8,32.2,28.9,28.7,33.4,49,51.4,33.5,34.4,67,-4.7,N/A,2015
San Jose St.,MWC,34,15,106.9,106.1,0.522,50.6,51.9,17.4,16.6,26.9,32.2,31.5,28.6,49.1,53.9,35.1,32,66.2,-10.2,N/A,2015
Bryant,AE,34,23,105.8,105.3,0.5112,51,47.7,16.5,16.4,34.2,28.8,30.4,30,51.5,47.3,33.4,32.2,72.3,-7.1,15,2015
Radford,BSth,33,20,109.8,109.3,0.5108,51.1,51,17.7,16.5,33.8,30,41.3,37,49.9,49.3,35.6,35.8,62.9,-7.3,N/A,2015
Sam Houston St.,CUSA,32,13,110.3,109.9,0.5102,51,53.1,18.3,17.2,30.3,32.2,36.3,33.2,46.9,52.3,38.3,36.2,67.7,-11.7,N/A,2015
Cal Baptist,WAC,32,17,105,104.6,0.5098,48.3,50.1,17.7,18.1,33.3,29.6,29.7,33.4,48.6,50.3,31.7,33.2,65.8,-9.6,N/A,2015
Temple,Amer,32,17,110.5,110.4,0.5026,49.9,50.6,15.7,15.1,32,31.2,45.2,36.4,48.2,51,35.8,33.3,68.7,-9.6,N/A,2015
James Madison,SB,32,20,110,110,0.5013,50.7,50.9,15.8,15.6,32,30.5,30.4,33.4,50,49.6,34.3,35.5,64.9,-7.4,N/A,2015
Western Kentucky,CUSA,32,17,103.1,103.1,0.501,47.9,47.4,15.5,17,23.5,28.1,32.1,40.6,48,48.7,31.7,30.5,71.8,-8.3,N/A,2015
Rhode Island,A10,31,18,107.6,107.7,0.4973,52.8,49.3,17.9,16,28.3,28.6,41.1,30.8,53.3,50.6,34.6,31.5,70.4,-7.8,N/A,2015
Charleston,CAA,33,24,105.2,105.3,0.4969,52.4,50.1,16.2,16.4,26.5,28.3,34.6,26.5,51.8,51.4,35.5,32.1,70.2,-4.6,N/A,2015
Murray St.,MVC,33,16,104.7,104.9,0.4957,49.3,51.2,16.9,17.3,29.1,26.4,41.2,35.5,48.6,52.6,33.6,32.1,64.7,-10.7,N/A,2015
Milwaukee,Horz,32,21,106,106.3,0.4931,51.4,51.5,19.4,18.3,39.8,26.6,38,32.4,53.1,52.2,31.9,33.6,68.6,-7,N/A,2015
Appalachian St.,SB,31,17,100.5,100.9,0.4885,49.6,46.1,16.9,14.8,27.6,29.6,35.1,22.2,48.7,47,34,29.8,63.1,-9.5,N/A,2015
Florida Gulf Coast,ASun,32,18,107.4,108.1,0.4831,53.9,50.5,16.2,14.3,30,26.5,23.1,29.5,54.1,48.9,35.7,35.1,65.2,-9.2,N/A,2015
East Tennessee St.,SC,32,19,104.8,105.5,0.4824,50.3,50.3,16.1,18.9,35.7,29.8,33.2,34.3,48.9,49.5,34.7,34.2,65,-9.3,N/A,2015
Towson,CAA,33,22,106,106.8,0.4801,47.9,50.8,14.5,17.3,35.3,28,28.4,30.7,46.7,50.7,33.4,34.1,63.5,-5.9,N/A,2015
Nicholls St.,Slnd,33,20,105.5,106.2,0.4801,48.1,48.1,15.3,16.7,30.6,31.5,33.1,35.9,45.6,49.9,35,30.1,68.1,-7.5,N/A,2015
Winthrop,BSth,34,23,107.4,108.2,0.4781,53.3,51.4,17.7,18.7,31.2,31.5,47.7,37.1,55,50.6,33.8,35.2,72.6,-6.2,N/A,2015
UNC Greensboro,SC,32,20,105.4,106.2,0.478,50.7,47.8,15.3,16.4,31.1,30.1,29.8,34,48,48.7,36.2,31,63.7,-7.7,N/A,2015
Marshall,SB,33,20,105.6,106.6,0.4739,49.9,49.3,16.5,16.8,33,29.6,34.8,40.9,51,49.7,32.3,32.2,68.6,-8.8,N/A,2015
Boston College,ACC,31,12,105.2,106.2,0.4713,48.9,51.9,17.3,15.5,28.8,30,31.5,37.1,47.5,51.3,34.5,35.2,66.7,-9.8,N/A,2015
Cleveland St.,Horz,33,21,102.6,103.6,0.47,49.3,50.6,18.3,22.3,34.5,34.1,31,38.1,49.6,49.8,32.5,34.5,65.5,-7.8,N/A,2015
Lamar,Slnd,33,20,101.2,102.3,0.4695,47.2,47.6,19,17.7,35.5,31.8,29,34.8,44.3,47.9,35.6,31.4,65.3,-7.4,N/A,2015
Purdue Fort Wayne,Horz,32,19,107.5,108.8,0.4643,54.7,53.3,13.8,20.1,22,32.8,29.1,30,54,56.2,37.1,32.6,69.6,-8.6,N/A,2015
Dartmouth,Ivy,28,14,100.5,101.8,0.4627,50.3,49.1,16.2,13.8,22.8,24.9,30.3,23.2,49.8,52.1,33.9,29.6,70.7,-10.6,N/A,2015
Eastern Kentucky,ASun,32,18,109.4,110.8,0.4619,49.7,52.6,13.8,17.8,32.4,33.2,26,31.8,47.7,52.1,34.9,35.5,67.6,-8.7,N/A,2015
Cal Poly,BW,35,16,108.9,110.5,0.4585,55.2,53.2,20.7,19.1,27.6,33.2,26.8,32.4,56,54.3,36.3,34.4,74.4,-11.5,N/A,2015
Rice,Amer,32,13,106.3,107.9,0.4579,48.6,47.8,17.8,14,33.7,29.6,43.3,35.9,47.8,47.5,33.2,32.1,65.4,-14.2,N/A,2015
Southern Illinois,MVC,33,14,106.1,107.7,0.4572,51.6,52.6,18.3,15.2,30.3,28,34.2,33.7,51,51.5,35.1,36.1,67.8,-12.9,N/A,2015
UTSA,Amer,31,12,107,108.8,0.4507,49.7,53.3,15.7,20.6,27,35.5,29,43.9,46.1,53.2,36.1,35.7,69.7,-12.8,N/A,2015
East Carolina,Amer,33,19,106.3,108.2,0.449,48.4,51.7,15.6,17.4,33.8,31.2,35.2,31.6,49.3,48.5,31.2,38.4,66.5,-8.9,N/A,2015
Portland St.,BSky,32,19,100.8,102.7,0.4483,50.5,50,18.4,19.6,33.4,30.4,34.3,34.9,51.7,51.6,32,31.7,68.2,-9.3,N/A,2015
Miami FL,ACC,31,7,112.5,114.6,0.4479,51.9,57.4,16,15,28.2,30.8,26.4,28.8,55.1,55.9,31.3,39.7,67.4,-13.5,N/A,2015
Drexel,CAA,33,18,103.6,105.6,0.4473,52.2,47.8,18.6,14.4,33,30.1,24.2,28.2,51.9,48.1,35,31.6,62.9,-11.7,N/A,2015
Ohio,MAC,32,16,106.4,108.4,0.4473,53.4,52.3,14.9,17.8,23.9,29,33.5,36.4,53.9,50.4,35,37.6,70.3,-11.8,N/A,2015
Montana St.,BSky,33,15,104.7,106.7,0.4462,52.8,48.8,15.1,15.3,20.7,29.4,31.9,31.9,53.8,50.6,34.3,29.8,65.9,-12,N/A,2015
South Carolina St.,MEAC,33,20,102.4,104.4,0.4449,50.8,50.1,19.9,22.8,35.7,32.7,42.9,47,50.2,51.8,34.7,31.1,69.1,-9.2,N/A,2015
Wyoming,MWC,32,12,103.1,105.2,0.443,50.3,51,19.9,15.8,30,27.2,30.4,41.1,49.5,51.7,34.4,33.3,64.5,-10.8,N/A,2015
Jacksonville,ASun,32,19,101.2,103.6,0.4346,50.1,50.7,19.3,18.7,35.3,30.5,28.2,34.5,47.3,50,37,34.6,67.3,-7.5,N/A,2015
Illinois Chicago,MVC,32,18,105.4,107.9,0.4336,51.1,51.6,17.5,15.8,30,27.9,35.1,31.6,51.1,51.6,34,34.4,69,-8.4,N/A,2015
Queens,ASun,33,19,105.9,108.5,0.432,52.3,51.7,18,16,31.1,28.7,33.7,32.1,52.6,51.4,34.6,34.8,68.4,-8.6,N/A,2015
Oakland,Horz,34,16,106.3,108.9,0.431,50.1,51.4,18,16.2,34.1,32.6,31.7,27.8,53.2,49.7,30.6,35.9,63.6,-11.2,N/A,2015
Central Connecticut,NEC,32,25,99,101.5,0.4277,52.2,47.7,17.2,18.1,26.5,25.3,25.9,18.9,53.7,49,32.9,30.6,65.5,-4.7,N/A,2015
Norfolk St.,MEAC,34,24,106.2,109,0.4254,52.4,49.7,18.3,18.6,32.8,33.8,39,34.9,54.5,48.9,31.3,33.9,66.3,-5.3,16,2015
Northeastern,CAA,32,17,103.9,106.9,0.418,51.1,50.3,18.6,18.2,31.4,31.4,28,30.3,51.3,49.2,33.7,34.9,67.4,-11,N/A,2015
Southeast Missouri St.,OVC,33,21,101.5,104.5,0.4175,51.3,47.6,15.4,19,24,28.7,28.9,42.8,51.1,48.8,34.5,30,68.8,-8.7,N/A,2015
Pepperdine,WCC,35,13,106.3,109.5,0.4163,49.6,52.5,16.1,15.3,27.7,30,31.6,27.2,48.9,53.3,34,34.2,69,-12.4,N/A,2015
Merrimack,MAAC,33,18,98.3,101.3,0.4163,49.4,46.9,13.8,23.2,20.8,38.6,24.4,29.9,49.3,47.2,33,31,64.4,-9.9,N/A,2015
Abilene Christian,WAC,32,16,98,101,0.4146,46.7,51.4,20.7,24,30,31.5,37.2,51.3,47.8,52.6,28.9,32.6,69.1,-10.5,N/A,2015
Brown,Ivy,27,14,102.4,105.6,0.4117,51.1,49.3,17.1,15.7,30.1,30.7,28,29.1,52.1,49.2,33.1,32.9,65.7,-8.7,N/A,2015
South Florida,Amer,32,13,102.3,105.5,0.411,49.7,49.7,16.2,18.3,27.7,33.2,34.9,36.7,51.1,49.6,31.6,33.3,68.2,-12.5,N/A,2015
Indiana St.,MVC,32,14,108.3,112.1,0.4017,54.6,54.3,19.5,15.8,26.2,27,35.9,38.8,56.6,54.5,35,35.9,72.3,-12.5,N/A,2015
Hampton,CAA,33,17,103.3,107,0.3979,47.5,52.6,16,18.8,34,28.7,30.3,43.6,46.9,53.3,32.4,34.2,65.5,-11.6,N/A,2015
Idaho St.,BSky,30,15,105.8,109.8,0.3965,47.8,54.1,16.3,17.9,38.3,25.9,34.4,32.7,48.3,53,31.2,37.3,65.8,-10.5,N/A,2015
Princeton,Ivy,30,19,103.2,107.1,0.3955,51.5,53.4,15.2,17.3,26.2,24.2,24.6,31.7,50.1,53.5,35.3,35.5,66.6,-6.3,N/A,2015
Missouri St.,MVC,32,9,101.7,105.6,0.3947,50.9,54.7,20.7,19.1,32,28.4,34.3,38.5,49.1,55,36,36.1,63.8,-17.3,N/A,2015
Southeastern Louisiana,Slnd,32,18,104.1,108.1,0.3932,49.2,51.4,17.4,18.8,30.9,29.4,34.7,36.5,49.5,51.9,32.4,33.7,66.9,-9.6,N/A,2015
La Salle,A10,33,14,103.3,107.3,0.3921,46.1,52.6,15.5,16.7,30.5,29.5,31.4,30,44.5,54.5,32.8,33.2,68.6,-11.6,N/A,2015
Texas St.,SB,32,16,108.1,112.4,0.3899,50.7,49.9,18.1,16.1,35.2,31.5,36,41.6,49.3,47.4,36.4,36.1,65.9,-11.7,N/A,2015
Quinnipiac,MAAC,33,20,101.8,105.9,0.3899,48.4,49.5,17.9,17.1,33.5,26,31.1,28.3,50.7,46.7,29.8,36.1,71.5,-9.3,N/A,2015
Massachusetts,A10,32,12,101.6,105.7,0.3891,45.1,49.8,16.1,17.5,34.3,31,34,36.6,46.6,49.7,28,33.2,70.4,-13.4,N/A,2015
Youngstown St.,Horz,34,21,102.3,106.4,0.3879,49.8,48.8,17.6,18,29.3,31.2,36.4,35.8,52.1,48.1,31.3,33.5,69.2,-9.2,N/A,2015
Bucknell,Pat,33,18,103.4,107.7,0.3856,53.8,50.3,18.6,17,26,28,36.7,35.4,54.4,49,35.3,34.7,67.4,-10.3,N/A,2015
Southern,SWAC,32,20,98.5,102.7,0.3836,47.2,49.2,18.5,21.1,34.4,28.5,38.1,42.3,47.4,48.2,31.2,33.8,68.3,-7.3,N/A,2015
Fordham,A10,33,12,106.3,110.9,0.381,48.6,52.8,18.4,16.7,31.5,30.6,32.8,39.2,49.1,52.6,32,35.5,69.5,-14,N/A,2015
Seton Hall,BE,32,7,97.5,101.7,0.3809,44.7,54.6,19.1,22.2,31.2,31.8,32.9,39.6,43.9,54.5,31.2,36.6,64.4,-13.2,N/A,2015
SIU Edwardsville,OVC,33,22,101.3,105.7,0.3796,48.9,47.5,17.1,17.3,31.8,29.1,33.1,33.2,47.8,46.3,34,33,65.8,-7.8,16,2015
Valparaiso,MVC,34,15,105.1,109.8,0.3789,47.7,53.7,14,17.1,26.5,28.5,33.6,35.4,47.3,54.2,32.3,35.2,67.9,-13,N/A,2015
Wright St.,Horz,33,15,108.5,113.3,0.3785,56.3,53.2,17.8,14.2,28,27.9,27,34.5,55.3,52.2,38.6,36.7,67.3,-13.8,N/A,2015
William & Mary,CAA,32,17,106.4,111.2,0.3761,53.7,53.5,18.1,17.6,26.2,30.2,35.6,35.5,55.8,54.4,34.5,34.8,71.4,-10.7,N/A,2015
Central Michigan,MAC,31,14,104.7,109.4,0.3754,49.8,53.1,17.6,18.2,32.1,29.1,35.8,31.3,51.2,52.5,31.3,35.9,67.2,-11.5,N/A,2015
Campbell,CAA,32,15,101.2,105.9,0.3724,50,52.4,15.8,18.8,24.6,27.7,29.7,29.9,51.5,55.8,31.9,31.1,65.8,-12.7,N/A,2015
Richmond,A10,32,10,103.5,108.4,0.372,48.4,52.7,15.4,15.8,19.3,27.7,29.7,37.1,49.7,52.4,31.2,35.4,63.8,-15,N/A,2015
Northwestern St.,Slnd,32,16,102,107,0.3667,48.7,49.8,20.2,17.4,33.1,32.6,32.2,33.1,46.5,46.8,35.2,36.2,63.8,-9.7,N/A,2015
UNC Asheville,BSth,32,21,107.1,112.3,0.3666,52,53.4,14.8,18,29.7,34.1,34.4,40.1,52.4,53.8,34.2,35.2,67.8,-6.5,N/A,2015
Hofstra,CAA,33,15,97.8,102.5,0.3662,48.9,45.9,17.6,16.4,25.8,28.6,25.3,38,48.1,42.6,33.2,33.9,63.6,-13.5,N/A,2015
Elon,CAA,32,17,106,111.3,0.3627,50.2,48.1,19,13.3,36.3,31.4,38.8,24.7,50.8,47.1,32.8,32.9,64.9,-11,N/A,2015
UMKC,Sum,33,13,100.5,105.5,0.3624,48.4,51.2,18.6,17.1,32.8,29.7,30.9,35.2,47.5,53.6,33.1,31.8,64.3,-14.8,N/A,2015
Longwood,BSth,32,18,105,110.3,0.3608,51.3,55.9,18,20.7,32.1,29.6,45.4,38.3,52.3,59.8,32.9,33.7,68.9,-9.8,N/A,2015
Hawaii,BW,31,15,102.1,107.4,0.3606,50.6,49.5,20.7,13.1,31,24.9,39.9,33.7,53.1,48,31,35,65.8,-11,N/A,2015
Tennessee St.,OVC,33,17,102.9,108.2,0.3602,51.3,48.8,21.1,17.4,33.8,30.3,41.4,39.3,52.5,48.1,32.6,33.4,70.5,-13,N/A,2015
Vermont,AE,33,21,99.5,104.7,0.3577,49,48.8,17.3,15.7,26.2,25.8,29.8,27.1,49.5,48.3,32.3,33,62.5,-8.2,N/A,2015
Maine,AE,34,20,99,104.2,0.3572,51.6,50.4,15.5,21.9,21.8,32.3,28.2,29,50.6,50.7,35.7,33.3,65.9,-10.3,N/A,2015
Delaware,CAA,36,16,108.9,114.6,0.3563,55.1,52.2,16.6,15.5,22.4,32.5,30,32.9,54.1,51.9,37.7,35.3,70.2,-15.2,N/A,2015
UT Rio Grande Valley,Slnd,31,16,104.5,110,0.3561,51.7,51.4,19.2,17.6,30.8,33.9,22.7,29.9,55.4,52,31.8,33.4,70.5,-10.2,N/A,2015
South Dakota,Sum,33,19,108.4,114.2,0.3522,50.1,54.8,12.6,17.3,30,35.7,45.4,35.2,51.7,55.4,31.6,35.9,74.4,-9,N/A,2015
Harvard,Ivy,27,12,102,107.8,0.3451,50.6,52.2,18,17.7,25,31.1,24.4,24.6,52.2,53.4,32,33.5,65.6,-10.8,N/A,2015
UT Arlington,WAC,31,13,106.4,112.5,0.3443,51.7,50.4,19.2,16.4,32.8,32.5,37,34.3,50.6,48.5,35.4,36,67.5,-12.9,N/A,2015
Tulsa,Amer,33,13,101.9,107.9,0.3415,49.5,49.7,16.9,14.4,27.2,31.1,34.2,33.6,51.5,50,31.2,32.7,66.2,-14.6,N/A,2015
North Dakota,Sum,33,12,107.9,114.4,0.3388,49.7,56.5,16.6,15,33.7,28.7,33.6,33,50.3,57.1,32.5,37.1,68.9,-15.1,N/A,2015
Iona,MAAC,34,17,99.4,105.4,0.3361,47.5,51.7,20.9,22.8,39.1,30.9,27.9,35.6,47.5,53.9,31.8,32.6,68.2,-13.9,N/A,2015
American,Pat,34,22,101.2,107.4,0.3354,51.8,52.1,16.8,17.6,23.8,27.4,29.5,34.1,51.1,53.1,35.1,33.6,63.4,-8.3,16,2015
