TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,YEAR
UC Davis,BW,32,15,97.4,103.4,0.3352,46.3,50,19.7,21.8,27.6,33.6,38.3,39.2,45.1,48.3,32.2,35.2,67.1,-11.2,N/A,2015
Incarnate Word,Slnd,33,17,105.2,111.8,0.3314,51.1,52,18.1,17.5,34.5,31.4,27.5,34.7,49.7,50.8,35.8,36.4,64.1,-11.9,N/A,2015
Georgia St.,SB,33,14,107.2,113.9,0.3304,50.4,51,16.9,12.9,32.4,31.9,33.8,26.2,49.8,51.8,34.4,33.2,69.1,-13.3,N/A,2015
Northern Arizona,BSky,33,18,103.7,110.2,0.3302,50.3,53.3,15.4,14.8,31.5,23.8,29.6,34.3,49.4,52.8,34.5,36,66.6,-11.5,N/A,2015
Sacred Heart,MAAC,33,15,105,111.8,0.3274,51,51.8,17.7,17.6,31.4,29.9,26.3,27.6,50.3,50.8,34.5,35.4,70.3,-14.7,N/A,2015
Georgia Southern,SB,33,17,102.9,109.6,0.3274,50.6,50.1,19,18.4,33,33,26.5,43.1,49.8,51.2,34.5,32.3,69.5,-11.4,N/A,2015
Northern Kentucky,Horz,33,17,102.6,109.4,0.3217,49.8,52.5,17.3,19.9,31,32.5,31.3,29.3,50,50.6,33,37,65.9,-11.3,N/A,2015
Portland,WCC,32,12,106.3,113.5,0.3211,50.1,54.6,18,13.2,23.9,29.9,32.2,22.1,49.8,53.3,33.7,37.8,68.2,-12.7,N/A,2015
Idaho,BSky,33,14,107.9,115.2,0.3207,51.8,54,17.9,15.1,28.9,31.3,33.6,35.7,51.5,55.1,34.7,34.9,66.3,-14,N/A,2015
Toledo,MAC,33,18,110.8,118.5,0.3156,50.5,56.4,13.7,15.5,29.8,30.9,35.5,26.5,50.6,55.9,33.6,38.2,68.3,-9.1,N/A,2015
Little Rock,OVC,33,19,98,104.9,0.3146,49.5,46.7,20.4,21.5,30.4,35.4,29,37.9,47.2,46.3,36.6,31.4,66.7,-10.1,N/A,2015
Cal St. Bakersfield,BW,33,14,105.3,112.8,0.3129,48.2,54.3,18.8,18.9,35.6,29.7,34.5,46.9,45.3,54.8,37.2,35.7,66,-13.8,N/A,2015
Presbyterian,BSth,32,14,103.1,110.5,0.3113,51.2,52.5,16.3,17.7,29.6,31.3,31.2,39.2,49.7,52.9,36,34.4,64.3,-13.9,N/A,2015
Jackson St.,SWAC,34,16,100.3,107.6,0.3081,47.7,50.6,19.5,17.4,30.1,30,37.5,30.6,47.1,50.3,32.6,34.1,68.4,-10.6,N/A,2015
Fresno St.,MWC,32,6,100.8,108.2,0.3057,46.1,54,17.7,18,27,34,36.4,23.5,45.6,56,31.3,34.2,70.7,-16.4,N/A,2015
Manhattan,MAAC,30,17,107.2,115.1,0.3048,50.7,50.5,17,15.2,32.6,31.9,31,25.9,50.3,51.8,34.2,32.5,67.4,-10.1,N/A,2015
Monmouth,CAA,33,13,103.8,111.7,0.3012,47.2,50.7,16.2,16.6,29.7,34.8,36.7,36.1,44.2,50.7,35.2,33.8,67.1,-14.5,N/A,2015
Evansville,MVC,32,11,98.1,105.6,0.2992,48.8,50.2,17.7,16.7,22.6,29.2,31.1,34.6,51.5,49.4,29.9,34.1,66.9,-15.1,N/A,2015
Charlotte,Amer,33,11,104.2,112.2,0.2985,48.3,54.2,15.1,14.6,25.4,29.2,42.7,37,49.6,56.4,31,33.3,64.7,-16.4,N/A,2015
Mount St. Mary's,MAAC,34,22,99.4,107.5,0.2903,51,48,21.7,15.9,31.1,28.3,31,26.7,50.1,48.7,34.9,31.4,67.3,-8.2,16,2015
UMass Lowell,AE,32,17,107,115.7,0.2901,54.6,51.6,18.1,14.7,26.1,30.3,31.6,25.2,56.3,50.5,34.2,35.6,68.6,-11.6,N/A,2015
North Florida,ASun,32,15,108,116.8,0.2882,53.2,54.1,15,14.7,27.9,34.2,24.8,31.1,54,54.5,35,35.5,72.2,-11.4,N/A,2015
FIU,CUSA,33,10,96.1,103.9,0.2879,46.1,51.6,19.5,20.6,31,29.6,36,37.5,47.4,52.6,28.8,33.3,68.4,-17.4,N/A,2015
Houston Christian,Slnd,32,12,100.4,108.6,0.2875,49.1,52.6,18,17.9,26,32,30.5,29.4,49.3,54.5,32.5,32.3,64.5,-14.7,N/A,2015
Gardner Webb,BSth,31,11,102.3,110.7,0.2867,51.9,52,20.8,14.8,33.4,30.2,36.2,37.2,53.1,54.2,33,32.3,69,-15,N/A,2015
Denver,Sum,32,11,99.9,108.4,0.2825,50.3,54.3,18.5,17.6,26.1,29.1,31.6,49.8,50.5,56.2,33.3,34.1,66.4,-15.9,N/A,2015
Siena,MAAC,32,14,102,110.6,0.2823,49.4,51.7,17.2,18.2,28.8,30,37.3,31.4,49.5,51.8,32.8,34.3,67,-14.6,N/A,2015
Eastern Michigan,MAC,32,16,104.3,113.2,0.2791,52.4,53.7,18.7,17.8,29.6,31.7,33,38.5,52.4,51.9,35,37.7,67.1,-12.2,N/A,2015
Colgate,Pat,33,14,104,113.1,0.277,54.2,53.3,16.7,16.3,23.7,26.9,22.6,25.5,54.6,51.5,35.7,37.3,67,-14.9,N/A,2015
Ball St.,MAC,31,14,103.4,112.5,0.2762,51.3,51.6,16.4,14.1,26.4,27.9,44.5,30.7,51,54.5,34.6,31.5,66.3,-13.8,N/A,2015
Alabama St.,SWAC,34,19,100.5,109.6,0.2698,47.1,50.3,13.2,18.6,28.3,31.1,29.9,38.7,45.4,50.4,32.9,33.4,67.6,-10.2,16,2015
Bowling Green,MAC,32,14,99.4,108.6,0.2656,49.9,52.6,17.5,17.3,25.6,27.4,34.5,29.8,49.6,54.6,33.5,33.2,68.7,-14.3,N/A,2015
Albany,AE,33,17,103,112.5,0.2656,49.3,54.9,15.7,19.8,32.3,28.4,29.5,34.7,50.2,55.8,31.7,35.6,67.5,-12.9,N/A,2015
Mercer,SC,33,14,98.2,107.4,0.2643,48.9,50.8,16.6,16.8,28.8,28.7,29.8,32.8,49.8,49.7,31.8,34.7,70.9,-14.5,N/A,2015
Eastern Washington,BSky,32,10,101.8,111.3,0.2635,50.9,54.4,18.7,19,26.9,33.6,31.1,39.7,52.5,53.8,32.3,36.9,67,-16.4,N/A,2015
Pacific,WCC,33,9,100.7,110.2,0.2616,48.1,53.2,19.3,15.4,28.8,28.2,32.8,37.1,50.3,52.9,29.7,35.8,66.5,-15.7,N/A,2015
LIU,NEC,33,17,94.8,103.9,0.2581,47.7,48,20.1,19.2,32.3,27,27.6,43.5,48.8,48.8,30.3,31.2,64.8,-12.7,N/A,2015
Western Michigan,MAC,32,12,101.8,111.7,0.2555,47,54.5,15.8,16.6,34.4,27.9,31,33.2,49.3,55,28.2,35.8,67.7,-14.9,N/A,2015
Texas Southern,SWAC,32,15,95.4,104.9,0.253,47.5,47.4,19.8,19.6,30.5,34.7,28.9,36.2,46.2,46.5,33.1,32.6,69.9,-11.9,N/A,2015
Austin Peay,ASun,33,14,102,112.2,0.2505,48.7,53.8,14.8,16.8,25.8,31.2,28.9,36,47.1,52,34,37.9,65.9,-13.4,N/A,2015
Marist,MAAC,30,20,96.5,106.2,0.2491,49.9,46.9,18.4,16.4,30.6,25.6,22.4,33.2,51.5,44.9,31.4,33.7,64,-8.1,N/A,2015
Tarleton St.,WAC,32,12,93.2,102.7,0.2483,45.9,52.1,25.1,23.3,28.1,33.9,41.5,48.3,45,52.9,32.2,33.9,65.5,-13.3,N/A,2015
Stephen F. Austin,Slnd,31,14,95.4,105.1,0.2462,46.7,49.2,22.2,20.2,34.6,33.1,32.3,34.1,48.8,47.8,28.7,34.4,67.3,-12.4,N/A,2015
Navy,Pat,34,15,101,111.5,0.2431,48,52.5,16.1,17.8,31.3,27.2,33.8,33.8,46.8,52.6,33.3,34.9,66.9,-16.2,N/A,2015
Tennessee Martin,OVC,33,14,102,112.6,0.2428,47.6,52.3,19.5,18.9,34.7,30.8,34.4,33.9,48.5,52,31.1,35,66.2,-15.5,N/A,2015
Air Force,MWC,32,4,98.7,109.3,0.2375,50.1,54.6,20.8,15.7,22.7,29,35.4,35.4,50.5,54.8,33.1,36.3,64.4,-19.2,N/A,2015
Tennessee Tech,OVC,32,15,101.1,111.9,0.237,50.7,49.6,17.4,15.2,25,32.4,28.8,22.2,49,50.6,35.1,31.9,67.8,-13.2,N/A,2015
Weber St.,BSky,34,12,100.9,111.8,0.235,50.2,53.4,16.9,16.5,24.4,30.1,34.7,37.2,51.1,52.2,32.4,36.7,65.4,-17.1,N/A,2015
San Diego,WCC,33,6,100.1,111,0.2333,45.7,54,18.4,18.5,29.9,31.6,30.5,46.1,46.3,51.6,29.7,38.5,70.9,-19.5,N/A,2015
Old Dominion,SB,35,15,99.4,110.6,0.2266,44.1,51.2,16.9,16,36.4,32,30.9,35,45,51.2,28.3,34.1,66,-15.4,N/A,2015
Lafayette,Pat,33,13,97.6,108.7,0.2263,50.2,50.4,16.6,16.7,24,28,30.5,26.9,49.7,48.3,34,35.8,66.1,-16.8,N/A,2015
Saint Peter's,MAAC,28,12,94.8,105.5,0.226,44.7,47.3,20.7,17.6,37,31,34.7,37.6,42.4,47,32.2,31.9,63.7,-13.4,N/A,2015
Bethune Cookman,SWAC,33,17,97.3,108.5,0.223,48.2,48.8,19.5,16.7,28.8,30,35.9,32.4,48.4,49.8,31.9,31.3,68.9,-10.2,N/A,2015
Oral Roberts,Sum,30,7,103.8,115.7,0.222,50,55,16.3,13.9,22.6,33.1,35,38.2,48.5,56.6,34.4,35,67.2,-17.3,N/A,2015
Utah Tech,WAC,33,7,101.7,113.7,0.2185,48.8,53,18.3,17.4,26.2,33.5,33.7,41.1,47.9,53.7,33.4,34.4,67.3,-19.8,N/A,2015
Columbia,Ivy,27,12,104.2,116.5,0.2172,52.6,56.4,15.4,16.4,25.9,26.7,29.5,25.4,53.9,54.6,33.8,39.2,70.8,-11.4,N/A,2015
Lehigh,Pat,30,11,99.5,111.3,0.2161,51.1,50.7,15.6,16.1,21.4,29.1,31.5,33.9,49.1,53,36.4,31.2,67.1,-15.3,N/A,2015
Saint Francis,NEC,33,16,99.9,112,0.2114,51.6,51.3,19.6,16.4,25.4,30,23.8,28.7,52.6,53.4,33.4,32.3,67.2,-12.2,16,2015
Howard,MEAC,32,12,103.1,115.7,0.21,53.5,52.3,21.2,16.5,29,33.8,35.7,40.9,52.6,53.1,36.6,33.8,69.6,-15.6,N/A,2015
Penn,Ivy,27,8,103.1,115.7,0.209,49.4,53,16.4,13.4,26.8,29.7,28.9,25.8,49.9,50.8,32.6,37.5,66.8,-13.9,N/A,2015
Fairleigh Dickinson,NEC,33,13,97.7,109.7,0.2073,49.1,50.5,17.1,17.6,25.9,32,32.1,30.4,49.7,53.3,32.2,30.3,69.2,-15.8,N/A,2015
Louisiana,SB,33,12,97.4,109.7,0.2042,45.7,51.3,16,19.1,25.9,35.5,29.8,43.8,45,53.8,31.3,31.5,66.2,-15.9,N/A,2015
Southern Miss,SB,33,11,96.4,108.6,0.2021,47.9,50.2,19.5,16.1,28.1,30.2,33.8,35.4,49.8,51.2,29.8,32.5,70.7,-17.2,N/A,2015
Rider,MAAC,33,14,101.8,114.8,0.2013,47.7,53.1,17.2,16,32.2,30.7,29.6,27.3,48.1,52.8,31.2,35.7,64.8,-14.7,N/A,2015
Charleston Southern,BSth,32,10,99,111.6,0.2007,48.7,53.4,19.9,13.5,31.2,28.2,43.9,33.3,50.7,55.4,30.7,32.4,67.5,-16.1,N/A,2015
Long Beach St.,BW,32,7,100.7,113.6,0.2,49.2,53.4,21.7,17.1,28.5,34.9,35.5,35.2,47,51.2,35.3,38.1,64,-18.9,N/A,2015
Loyola MD,Pat,31,12,99.7,112.7,0.1972,50.1,52.8,17.7,16.9,28.6,27.9,29.3,30.2,50.7,52.9,32.9,35.1,66.5,-16.1,N/A,2015
VMI,SC,34,15,98.4,111.3,0.1947,48.5,54.2,18,17.6,25.2,32.1,37.5,30.5,50.3,56.3,31,34.5,68,-14.8,N/A,2015
Army,Pat,31,16,100.1,113.4,0.1935,49.7,53.7,14.7,16,25.8,29.3,25.8,27.1,52.1,55.2,30.8,34.5,67.5,-12,N/A,2015
Delaware St.,MEAC,30,16,100.9,114.3,0.1923,48.8,53.8,18.1,20,34,32.1,36.3,40.3,47.6,56.3,35.5,33.5,70.1,-11,N/A,2015
IU Indy,Horz,32,10,109,123.5,0.1921,50.4,57,15.7,16,30.6,33.6,34.1,35.1,46.2,57.8,36.8,37.3,64.8,-17.7,N/A,2015
Eastern Illinois,OVC,31,12,93.3,105.8,0.1912,44.1,51,18.7,20.8,30,30.9,33,39.7,42.6,50.2,31.7,34.7,66.1,-14.5,N/A,2015
Binghamton,AE,32,15,98.8,112.1,0.1891,51.6,49.7,19.6,12.8,26.9,26.9,33.7,31.9,50.6,51.1,35.4,31.8,65.5,-14.2,N/A,2015
Boston University,Pat,32,16,98.1,111.4,0.189,50.2,52.4,20.6,16.7,32.5,23.4,30.7,32,50.7,51.2,33,36.1,63.2,-13.2,N/A,2015
UMBC,AE,32,13,104.8,119,0.1873,55.2,54.1,15.9,17.4,19.4,33.7,31.6,27.9,53.8,54.2,38.4,35.8,70.4,-15.7,N/A,2015
Lindenwood,OVC,33,16,94.5,107.6,0.1826,45,50.7,17.9,19.4,30,31.5,36,34.7,47.6,50,26.7,34.6,69.4,-12.9,N/A,2015
North Carolina Central,MEAC,33,14,102.4,116.7,0.1823,50.1,54.8,19.2,21,34.6,38.8,39.8,42,49.9,57.6,33.7,32.7,66.9,-15.4,N/A,2015
Morehead St.,OVC,32,15,98,111.7,0.1818,45.9,50.3,18.4,14.4,31.2,25.4,37.6,34.7,45.5,49.9,31.2,34.1,64,-13.2,N/A,2015
Alcorn St.,SWAC,32,11,97.3,110.9,0.1816,46.1,53,19.6,18.3,33.6,32.5,30.4,31.5,45.4,54.6,31.8,34.1,64.7,-15,N/A,2015
Grambling St.,SWAC,34,12,95.3,108.6,0.1816,47.3,49.3,19.2,18.3,26.3,31.1,35.1,31.3,46.9,47,32,35.7,63.8,-16.9,N/A,2015
Coastal Carolina,SB,32,10,100.8,115,0.1789,49.4,48.6,18.4,10.5,29,28.7,34.4,36.9,47.7,48.5,34.8,32.5,63.1,-18.3,N/A,2015
Southern Utah,WAC,31,12,95.8,109.4,0.1787,46.8,49.9,21.6,15.1,30.1,32,36.2,33,47.2,49.8,30.5,33.3,68.9,-13.6,N/A,2015
Florida A&M,SWAC,31,14,101.9,116.4,0.178,50.6,51.4,20.7,15.4,27.7,31.9,36.7,39.9,50.8,51.5,33.6,34.2,67.1,-10.8,N/A,2015
Niagara,MAAC,31,11,100.6,115.3,0.1724,52,53,18.6,16.8,23.6,27.3,30.4,29.8,51.8,51.8,34.9,36.7,64.8,-16.8,N/A,2015
Stonehill,NEC,32,15,99.9,115,0.166,51.1,50.9,18.3,16.2,26.4,29.4,31.4,32.7,49.4,50.1,35.4,34.9,65.1,-13.8,N/A,2015
Holy Cross,Pat,32,13,100.7,115.8,0.1657,53.1,53.5,17.9,13.6,23.3,27,22.2,25.4,49.6,54.5,38.6,34.5,65.8,-15.6,N/A,2015
Green Bay,Horz,32,4,100.4,115.8,0.1624,50.9,54.8,18,14.6,18.4,32,37,35.4,52.2,54.1,32.9,37.3,69.1,-22.9,N/A,2015
Stony Brook,CAA,32,8,101.6,117.3,0.1607,47.7,56,18.3,14.9,29.5,31.2,31.6,28.4,45.7,57.2,33.8,36.3,64.4,-19.6,N/A,2015
Texas A&M Commerce,Slnd,31,5,96.2,111.2,0.1583,49.2,53.8,22.5,19.9,28.1,35.9,28,36.5,51.1,52.6,31.4,37.4,67.4,-20.2,N/A,2015
Mercyhurst,NEC,31,15,100,115.8,0.1558,48.6,55,16.4,20.3,22.2,33.3,30.9,38.3,45.8,56,35.7,35.7,64.5,-12.6,N/A,2015
USC Upstate,BSth,32,6,99.1,114.9,0.1541,49.8,56.1,19,16.6,25.3,32.4,30.4,39.5,53.1,58.3,29.4,35.2,72.7,-21.1,N/A,2015
Fairfield,MAAC,32,12,97.3,113.3,0.1481,46.3,53.7,15.5,18.2,28.6,31,25.4,31,45.8,53.4,31.5,36,65.8,-17,N/A,2015
Southern Indiana,OVC,30,10,98.6,114.8,0.1481,47.9,51.8,17.2,16.7,27.9,31.3,30.7,35.6,45.4,50,35.2,36.7,66.9,-17.5,N/A,2015
Morgan St.,MEAC,32,14,100.4,117,0.1479,49,52.4,17.9,17,34.1,36.9,35.7,39.1,49.5,51,31.6,36.8,70.3,-14.5,N/A,2015
Bellarmine,ASun,31,5,103.5,120.5,0.1472,53.7,58.1,17.4,15.4,20.2,30,26.5,34.9,53.9,57.8,35.6,39,66.2,-21.2,N/A,2015
North Carolina A&T,CAA,32,7,96.4,112.6,0.1442,45.8,51.5,15.4,15.3,27,31.4,31.2,30,46.3,52.4,30,33.3,69.3,-20.2,N/A,2015
Wagner,NEC,30,14,93.1,109.1,0.139,43.7,50.4,19.4,18.2,31.7,25,29.3,39.9,41.5,50.8,31.6,33.2,60.1,-13.1,N/A,2015
Western Carolina,SC,30,8,95.4,112.4,0.1324,45.4,51.1,19,13.5,25.7,29.4,27,34,46.3,52.8,29.7,32.6,70.4,-16.7,N/A,2015
Western Illinois,OVC,31,12,99.1,116.8,0.132,50.1,51.1,18.2,14.4,28.1,31.8,27.2,30.6,46.7,50.2,37.3,35.1,64.4,-16.4,N/A,2015
West Georgia,ASun,31,6,97.1,114.5,0.1309,47.2,56.1,16.3,16.6,26.1,29.2,28.8,36.3,48.4,56.9,29.7,36.8,68,-20.2,N/A,2015
Louisiana Monroe,SB,32,7,96.5,114.5,0.1228,45,53.6,17.1,16.1,29,32.5,31.1,25.1,43.1,55.8,32.5,34,67.7,-21,N/A,2015
Buffalo,MAC,31,9,95.4,113.2,0.1227,48.8,54.2,19.5,16.2,24.8,31.3,32.7,31.2,51.3,53.4,30.5,37.2,70.6,-17.3,N/A,2015
Detroit Mercy,Horz,32,8,94.6,112.3,0.1216,45.6,51.2,19.1,15.5,31.9,30.5,28.9,39.8,43.9,52.4,33.3,33.2,67,-19.2,N/A,2015
Le Moyne,NEC,32,9,102.7,122.2,0.1189,51.5,54.7,19.6,16.3,25.7,32.9,37.7,36.9,53.2,54.1,32.8,37,68.6,-19.2,N/A,2015
Sacramento St.,BSky,32,7,95.4,113.6,0.1187,48,55.1,20.3,17.1,27.4,27.6,31.3,39.2,49.1,55.2,31.2,36.6,65.3,-20.8,N/A,2015
Northern Illinois,MAC,31,6,94,112.1,0.1168,47.1,53.2,16.3,16.6,17.8,30.8,31.6,44,45.3,51,32.7,38,68.9,-21.1,N/A,2015
New Orleans,Slnd,31,4,98.8,117.9,0.1161,45.9,54.9,18.8,16.1,31.6,35.5,33.9,26.6,46,55.1,30.4,36.4,69.2,-20,N/A,2015
Central Arkansas,ASun,33,9,97.4,116.6,0.1122,47.4,56.8,18.2,16.7,28.6,30,28.8,22.6,50.2,55.4,29.6,38.7,66.3,-18.2,N/A,2015
Stetson,ASun,32,8,99.2,119,0.1092,50.2,53.1,18.7,13.1,24.1,34.3,33.1,27.7,50.2,52.6,33.5,35.9,67.6,-19.3,N/A,2015
NJIT,AE,31,6,94,113.5,0.1024,45.3,50,18,13.8,27.7,31.8,27.4,38.6,45,51.9,30.5,31,66.3,-21.6,N/A,2015
Cal St. Fullerton,BW,32,6,92.1,111.7,0.0973,44.2,54.3,21.3,16.1,25.9,29.8,39.2,34.1,46.1,55.9,27,34.9,68,-19.3,N/A,2015
Canisius,MAAC,31,3,99.1,121.1,0.0912,51.2,56.9,18.5,16.4,18.3,34.3,23.3,31.4,48.4,58.7,36.7,36.2,66.1,-23.4,N/A,2015
New Hampshire,AE,32,8,93.8,115.1,0.0873,47.1,54.4,19,16.9,27.4,31.6,26.4,33,46.8,56.4,31.7,34.1,67.6,-20.5,N/A,2015
Prairie View A&M,SWAC,32,5,95.9,117.7,0.0867,48.2,56.2,16.7,20,24.5,39.1,33.8,40.5,48.6,57.6,31.5,35.7,70.3,-21.3,N/A,2015
Alabama A&M,SWAC,32,10,92.8,114.9,0.0793,45.1,54.3,21.9,21,33.9,34.6,38.6,46.7,44.3,51.8,30.8,39,70.7,-18.8,N/A,2015
Maryland Eastern Shore,MEAC,31,6,94.8,118.8,0.0699,45.7,55.3,19.7,15.5,27.1,34.1,35.6,40.6,44.7,58.6,31.5,33.3,66,-19.5,N/A,2015
The Citadel,SC,30,5,93.6,117.5,0.0687,46.9,54.5,19.5,15.2,27.2,32,32.8,32.8,49.5,56.3,29.2,34.7,64.5,-21.5,N/A,2015
Chicago St.,NEC,32,4,92.5,116.1,0.0682,44.4,54.9,18.5,18.2,22.6,33.6,26.8,36.9,43.4,55.7,30.6,35.8,68.5,-21.8,N/A,2015
Coppin St.,MEAC,30,6,87.8,112.4,0.055,44,55.6,21.6,20.5,26.5,33.9,36.4,37.1,44.2,56.3,29,36.3,67.9,-19,N/A,2015
Arkansas Pine Bluff,SWAC,31,6,95,121.7,0.0549,50.3,56.3,20.4,16.8,26.3,34.6,32.8,40.5,52.6,58.5,31,35.7,71.6,-20.1,N/A,2015
Mississippi Valley St.,SWAC,31,3,82.9,125.2,0.0086,42.1,57.9,24.3,15,22.7,38,30.3,38.4,41.6,58.8,28.8,37.7,64.8,-21,N/A,2015